bus,x,y,distance_km,kvBase,kvLL,pu_a,pu_b,pu_c
24ab4116-d257-41b1-960b-481ced9684f1,34.67381297784516,-82.83387399502244,,7.199557856794634,"[-3.879860582509614e-06, -0.9999963651155663, -0.8660203158955677, 0.5000015425180347, 0.8660241957561502, 0.49999482259753164]",0.999996365090581,0.999996365090567,0.9999963650905805
5ff9a8dc-e808-48b4-9a51-b4ef0c8aae7d_ht,34.67142844006256,-82.83477149251003,0.7602918934965317,7.199557856794634,"[-0.00027045514140809976, -0.9997286629688739, -0.8656551913977066, 0.5000985524103292, 0.8659256465391147, 0.4996301105585448]",0.9997286995220365,0.9997286995171798,0.9997286995224332
5ff9a8dc-e808-48b4-9a51-b4ef0c8aae7d,34.67142844006256,-82.83477149251003,0.7602918934965317,0.27712812921102037,"[-0.0019269659611190685, -0.9988328229152372, -0.8640511157435189, 0.50108521283527, 0.865978081704638, 0.49774761007996726]",0.9988346816519156,0.9988346816473735,0.9988346816522214
ef7e1cf1-f33b-4256-8a55-ad94fbc7a080_ht,34.67551168121881,-82.83640638869831,1.1580095527169207,7.199557856794634,"[-0.00035347771532566604, -0.9996403654908681, -0.8655372122524224, 0.5001263033294489, 0.865890689967748, 0.4995140621614193]",0.9996404279580192,0.999640427951432,0.9996404279578216
ef7e1cf1-f33b-4256-8a55-ad94fbc7a080,34.67551168121881,-82.83640638869831,1.1580095527169207,0.27712812921102037,"[-0.016985030726485443, -0.9901938329908542, -0.8490404986262767, 0.5098063844915205, 0.8660255293527622, 0.4803874484993337]",0.9903394963879064,0.9903394963813765,0.9903394963876947
c06e8b04-406c-4505-9a7d-caa26d521809_ht,34.67669887200241,-82.83743246016078,1.3716154160890617,7.199557856794634,"[-0.0003698466142221095, -0.9996240677093096, -0.8655149135108751, 0.5001323303214077, 0.8658847601250972, 0.4994917373879018]",0.9996241360996733,0.9996241360931729,0.9996241361008268
c06e8b04-406c-4505-9a7d-caa26d521809,34.67669887200241,-82.83743246016078,1.3716154160890617,0.27712812921102037,"[-0.010341106662442397, -0.9941087123921055, -0.855752845672421, 0.506010017172316, 0.8660939523348633, 0.48809869521978955]",0.9941624970216439,0.9941624970151822,0.9941624970227857
18df96d8-a15c-4473-95ae-8731c654a42a_ht,34.676417546435694,-82.8378931567427,1.3191121169081552,7.199557856794634,"[-0.000367947362051896, -0.9996261828787393, -0.8655176949273777, 0.5001317431054727, 0.8658856422894298, 0.49949443977326663]",0.9996262505681415,0.9996262505615645,0.9996262505690786
18df96d8-a15c-4473-95ae-8731c654a42a,34.676417546435694,-82.8378931567427,1.3191121169081552,0.27712812921102037,"[-0.010666166677021494, -0.9939228448119778, -0.8554293496190009, 0.5061985936126054, 0.8660955162960223, 0.4877242511993724]",0.9939800744956108,0.9939800744890727,0.9939800744965377
8d61ce66-3ce3-48f6-8819-7aacd2c1c768_ht,34.67396353553774,-82.83529037045611,1.0313097714115087,7.199557856794634,"[-0.0003448569420668466, -0.999649073918029, -0.8655490643581114, 0.5001231917345004, 0.8658939213001783, 0.49952588218352856]",0.999649133373068,0.9996491333671743,0.9996491333732813
8d61ce66-3ce3-48f6-8819-7aacd2c1c768,34.67396353553774,-82.83529037045611,1.0313097714115087,0.27712812921102037,"[-0.0320469245545155, -0.9809665741568049, -0.8335185111565449, 0.5182367377588739, 0.8655654357110604, 0.46272983639793097]",0.9814899005748852,0.9814899005690864,0.9814899005750616
19d1eb19-8c54-4ed6-96d5-f236737eb4a8_ht,34.67795672311708,-82.83686899100991,0.8774103444026664,7.199557856794634,"[-0.0003565775297710284, -0.9996147513328973, -0.8655134798317426, 0.500116180767803, 0.8658700573615136, 0.4994985705650944]",0.9996148149034486,0.9996148148983847,0.9996148148957704
19d1eb19-8c54-4ed6-96d5-f236737eb4a8,34.67795672311708,-82.83686899100991,0.8774103444026664,0.27712812921102037,"[-0.016688826721672653, -0.9903798276892692, -0.8493496767605094, 0.509642861647115, 0.8660385034821821, 0.48073696604215427]",0.9905204288538287,0.9905204288488116,0.9905204288462105
