bus,pu_a,pu_b,pu_c,distance_km,x,y,kvLL,kvBase,hour,converged,has_pv,has_load
5ad8d989-5e23-4e96-96cd-4b3ef77cb000,1.0286649277717894,1.0286649277670834,1.0286649277751978,1.1098620440768945,34.67328981553977,-82.83513455703985,"[0.06230546047813297, -1.026776296613053, -0.9203670870488717, 0.45943003663881665, 0.8580616265707387, 0.5673462599742363]",0.27712812921102037,1837,True,True,False
0754658c-cea4-4c89-bfea-cc44efdade3f,1.028607139148957,1.0286071391442355,1.0286071391523701,1.1510939815848895,34.67328981553977,-82.8346846699615,"[0.06215554731749628, -1.0267274880463253, -0.9202498610098624, 0.45953546096092274, 0.8580943136923661, 0.5671920270854025]",0.27712812921102037,1837,True,False,True
f02a51c5-0487-49fe-a53c-19f24b979cad,1.0246239693587447,1.0246239693529764,1.0246239693626373,1.1011857115059875,34.673739702618114,-82.8355844441182,"[0.05168389836432859, -1.0233196242120681, -0.9120627398813733, 0.4669002430564479, 0.8603788415170448, 0.5564193811556203]",0.27712812921102037,1837,True,False,False
641fc047-02cc-4bd0-ac73-5d4d6561c687,1.024618378550436,1.024618378544666,1.0246183785543295,1.1424174260745166,34.673739702618114,-82.83603433119654,"[0.051669439235408454, -1.0233147564535627, -0.91205129471439, 0.4669103311501564, 0.8603818554789816, 0.5564044253034065]",0.27712812921102037,1837,True,False,True
e1fc24b3-1f74-44a3-9f8e-11bca00319f0,1.0246295593746706,1.0246295593689043,1.024629559378563,1.0599539969374585,34.673739702618114,-82.83513455703985,"[0.05169835783243334, -1.0233244909631334, -0.9120741843454804, 0.466890154165277, 0.8603758265130471, 0.5564343367978565]",0.27712812921102037,1837,True,False,True
3e990ed5-8add-498e-b152-f419eef4e798,1.0245598591121559,1.02455985910637,1.0245598591160534,1.1098620477670156,34.67418958969646,-82.83513455703985,"[0.051518242945210464, -1.0232637859373972, -0.9119315548074652, 0.46701578572034025, 0.8604133118622549, 0.5562480002170569]",0.27712812921102037,1837,True,False,False
6a9640e9-3a56-412d-b2b0-6dce205c554b,1.0244901879162756,1.0244901879104706,1.0244901879201784,1.1597701022863471,34.67463947677481,-82.83513455703985,"[0.051338128541826816, -1.0232030794313054, -0.9117889242293444, 0.4671414161162086, 0.8604507956875176, 0.5560616633150969]",0.27712812921102037,1837,True,False,True
779d9f78-74a0-4a10-bea4-0ffcd03ea93d,0.9992478597137467,0.9992478597154734,0.9992478597110517,0.8926775679882757,34.67808929130613,-82.8369137286446,"[-0.0016634082461605359, -0.9992464752406076, -0.864541128020382, 0.5010637913203093, 0.8662045362665424, 0.49818268392029835]",0.27712812921102037,1837,True,False,True
b9d3e2b6-9c11-45aa-ac31-6450e3001efa,0.9990516284226955,0.9990516284243772,0.9990516284200108,0.9425856508061174,34.67763940422778,-82.8369137286446,"[-0.001963080456486033, -0.9990496997819379, -0.8642208793692103, 0.5012249273379267, 0.8661839598256964, 0.4978247724440112]",0.27712812921102037,1837,True,False,True
05c6d8b1-ea32-44e1-85c1-3d5def65086a,1.0171298502837078,1.017129850285355,1.0171298502809971,0.7638959396857202,34.6789769331063,-82.8366485,"[0.03261255415698739, -1.016606882583928, -0.8967136629970235, 0.48006014081175763, 0.8641011088400361, 0.5365467417721704]",0.27712812921102037,1837,True,True,True
29399485-4f29-4710-af7f-6791e8fc381b,1.000055565437617,1.0000555654372567,1.0000555654335013,1.0631574410276508,34.677237341899364,-82.83386833456396,"[-0.00021380848091906063, -1.0000555426133342, -0.8659666008010297, 0.5002129347845143, 0.8661804092819487, 0.4998426078288198]",0.27712812921102037,1837,True,False,True
900b5abc-ec7f-4ae4-8ff5-a5ed8b86eced,1.0000298196888164,1.0000298196884467,1.0000298196847006,1.1130655168573025,34.67678745482102,-82.83386833456396,"[-0.00023682780101967892, -1.0000297916774255, -0.8659327901763147, 0.5002199946325461, 0.8661696179773344, 0.49980979704487943]",0.27712812921102037,1837,True,False,True
88ceb0dc-ab48-4b87-a001-0a6b423266e9,1.008319375188897,1.0083193751885517,1.0083193751848292,1.0143201942858484,34.67826186751466,-82.8347391909493,"[0.017810203429047298, -1.0081620698574156, -0.8819990652836522, 0.48865694621457223, 0.8641888618546049, 0.5195051236428435]",0.27712812921102037,1837,True,False,False
d764f7e6-4c13-40b0-a282-93fc2ac856a3,1.0082149972207173,1.0082149972203454,1.008214997216661,1.0555496677749518,34.67826186751466,-82.83428930387096,"[0.0175435178663891, -1.0080623520723626, -0.8817793643672899, 0.4888380437941248, 0.8642358465009008, 0.5192243082782378]",0.27712812921102037,1837,True,False,True
7f6c8c4f-610f-48c1-8ed5-0ea509defebb,1.0121389047821172,1.0121389047828082,1.0121389047776832,1.0555498870498323,34.677362093357964,-82.83518907802765,"[0.02772279476109407, -1.0117591656561138, -0.8900705372900284, 0.4818709382031854, 0.8623477425289342, 0.5298882274529285]",0.27712812921102037,1837,True,True,True
cd609c28-61d1-4d7f-8611-1286eb18ce70,1.0120043305684856,1.012004330569143,1.012004330564068,1.0967798064665248,34.677362093357964,-82.8347391909493,"[0.0273780998051618, -1.0116339282593165, -0.8897897310449728, 0.482106834093173, 0.862411631239811, 0.5295270941661434]",0.27712812921102037,1837,True,False,False
c3f2cf9c-f9a2-4415-8fac-a6aa9ccdd5bd,1.0118698704014344,1.0118698704020577,1.0118698703970326,1.1380097258832174,34.677362093357964,-82.83428930387096,"[0.027033405207401925, -1.011508689875686, -0.889508924124381, 0.4823427291795576, 0.862475518916979, 0.5291659606961283]",0.27712812921102037,1837,True,False,True
2f15e681-d391-49f9-ac6c-e9471ca7e957,1.0101054413865014,1.0101054413866397,1.0101054413822568,1.0056418065064072,34.67781198043631,-82.83518907802765,"[0.022471328131527517, -1.0098554560901778, -0.8857961431303342, 0.48546698692846973, 0.8633248149988068, 0.5243884691617079]",0.27712812921102037,1837,True,False,False
851c3c74-63d9-4b68-8756-89bd42e7d788,1.0084458160218903,1.0084458160215763,1.0084458160178082,0.9644121100522359,34.67781198043631,-82.8347391909493,"[0.01813302554128633, -1.0082827764575018, -0.8822650113218121, 0.48843772736451935, 0.8641319857805257, 0.5198450490929823]",0.27712812921102037,1837,True,False,True
