hour_index,total_pv_kW,total_load_kW,net_generation_kW,pv_to_load_ratio
470,446.906608,314.25656377875,132.65004422125003,1.4221074691459232
7716,419.669022,288.104633798,131.56438820199998,1.4566548792047176
7356,457.325181,326.20596303575,131.11921796424997,1.4019522369918416
8052,421.975172,291.561190671,130.41398132899997,1.447295401632739
7022,455.669175,325.5620738545,130.1071011455,1.3996383798808487
7525,453.79089999999997,324.16807439,129.62282560999995,1.399863016905824
8390,402.828661,273.2990302395,129.52963076050003,1.473948367738594
7211,417.168443,288.060766188,129.10767681200002,1.4481959729272649
3350,503.84828000000005,374.88708749325,128.96119250675002,1.3440000882000822
8725,412.173147,285.675151388,126.49799561199995,1.4428036304683305
3157,575.44085,449.73046515925,125.71038484074995,1.2795238332735852
158,428.075665,302.3690897045,125.70657529549999,1.4157388375994782
1504,395.84362899999996,270.60030991225,125.24331908774997,1.4628350856860757
326,435.402178,310.413081568,124.989096432,1.4026540840288828
7718,399.883146,276.6276424345,123.25550356550002,1.4455646624292793
663,413.02203999999995,291.17968639975,121.84235360024996,1.418443860862372
805,464.139429,342.581773073,121.55765592699998,1.3548281436043283
8558,401.30753,280.78534525025003,120.52218474974995,1.42923245589296
975,447.220486,328.15585921225,119.06462678775,1.3628294972722397
8365,427.927008,309.66212351875,118.26488448125002,1.3819158822379296
7693,455.38361899999995,337.592147124,117.79147187599995,1.3489165003705428
7524,441.43409399999996,324.2851571125,117.14893688749999,1.361252844778234
7188,438.683222,321.64992421200003,117.03329778799997,1.3638530203632508
468,438.55616399999997,322.8387985485,115.71736545149997,1.358436980354698
6879,396.221387,280.51982089424996,115.70156610575003,1.4124541514551763
2341,378.963076,264.24921339225,114.71386260775,1.4341124035943942
2320,416.03478,301.626751234,114.40802876600003,1.3793033174897003
8054,402.601026,289.20699720975,113.39402879024999,1.3920860438792355
6517,502.196682,389.1877158715,113.00896612849999,1.2903713561078618
6542,464.64736500000004,353.039656406,111.60770859400003,1.316133627632801
7547,387.725389,276.26114339425,111.46424560575002,1.4034742013762178
8556,390.531701,279.184527677,111.34717332299999,1.3988300241802514
8724,394.470562,283.78200072325,110.68856127674997,1.3900478522408046
8726,388.50036,278.51546880675,109.98489119325001,1.3948968804841033
3178,458.890735,349.38312424675,109.50761075324999,1.3134313074677284
6516,486.929193,377.896064227,109.03312877299999,1.2885267612074882
7019,432.971158,324.36374220700003,108.60741579299997,1.3348321662562936
3183,520.83165,412.774252646,108.05739735399999,1.2617832759663137
1336,373.674654,265.70156064225,107.97309335774997,1.406369807126421
324,426.48799099999997,319.897796445,106.59019455499998,1.3332007735168168
157,416.968632,311.11329498525,105.85533701475003,1.3402469048438506
2175,396.802914,291.4150857095,105.38782829050001,1.3616416311196575
7715,389.224297,284.285178703,104.939118297,1.3691332675401249
8029,436.85857799999997,332.331165171,104.52741282899996,1.314527863977752
8364,416.932377,313.35476261125,103.57761438874996,1.330544243831088
7886,389.960965,286.60571367075,103.35525132925,1.3606182467365786
7692,440.509535,338.6399271375,101.8696078625,1.30081983368818
7355,425.377928,325.6477023155,99.7302256845,1.3062518902148605
995,399.43953,300.27952762625,99.16000237374999,1.3302256461750739
3155,530.470605,432.14967863525,98.32092636475,1.2275159047849726
1834,363.575713,266.586321905,96.98939109500003,1.3638198278070062
7526,417.69742,320.8072955615,96.89012443850004,1.3020196999164133
1816,404.831222,308.07314411125,96.75807788875005,1.3140750124578668
2176,385.354532,288.84513812025,96.50939387975001,1.3341215752277966
2678,450.308365,353.85219996025,96.45616503974998,1.272588848615316
8028,427.072591,330.85592483199997,96.21666616800002,1.2908113703148734
7861,417.130505,321.752581517,95.37792348300002,1.296432500205218
1840,406.06923100000006,311.5720267545,94.49720424550009,1.3032916784171595
2534,622.981744,530.31810664975,92.66363735025004,1.1747321749221695
7187,415.204671,324.24402796675,90.96064303325,1.2805314328319601
2650,388.030926,297.37907381775,90.65185218225002,1.3048360118740916
7860,413.233207,322.857099028,90.376107972,1.2799260321800638
8701,428.764933,338.72127523675,90.04365776325,1.265834073854616
8366,394.747118,304.922024904,89.82509309599999,1.294583809843504
804,428.59436100000005,339.6221208055,88.97224019450005,1.2619742162892853
7883,371.34499,282.525482898,88.81950710199999,1.3143769718630636
3324,565.025489,476.28840546575003,88.73708353424996,1.1863095580946732
3011,511.52815899999996,423.86817189475,87.65998710524997,1.2068095500225648
3156,532.435032,445.7136762745,86.72135572549996,1.1945674076142188
3852,573.890024,487.83830039375,86.05172360625005,1.1763939452076662
3323,530.404782,444.5906953835,85.81408661649994,1.1930181767512236
659,371.19444899999996,286.076132403,85.11831659699999,1.2975372834653511
302,427.238399,342.333712112,84.90468688800001,1.2480173077789218
2535,558.978854,475.03299156425,83.94586243574997,1.1767158550032628
7523,399.156694,316.11005570025,83.04663829975004,1.2627143159146583
2484,448.16891000000004,365.6592780385,82.50963196150002,1.225646211354075
639,383.61488299999996,301.5562100445,82.05867295549996,1.2721173331873132
2314,400.371437,318.34488672775,82.02655027225,1.2576656715228909
3154,454.62089399999996,373.24945339425,81.37144060574997,1.2180081943798375
8030,406.0176,325.53612224425,80.48147775575,1.2472274841688298
1480,389.512703,309.22176131325,80.29094168674999,1.2596548835570411
3014,545.258149,464.982767276,80.275381724,1.172641625025448
1498,346.212257,267.36223437975,78.85002262025,1.2949183212365605
3853,576.562349,497.71647493200004,78.845874068,1.1584152361449498
7043,349.639813,271.5284947005,78.1113182995,1.2876726330250727
7383,356.174208,279.658960012,76.515247988,1.2736019854722866
1168,363.9031,287.73082594975,76.17227405025,1.2647344876381734
2533,639.4056350000001,563.2391094485,76.16652555150006,1.1352294667372258
2680,433.97677699999997,358.00464244349996,75.97213455650001,1.2122099110943232
6518,466.569375,391.2487922515,75.32058274849999,1.1925132627823414
7694,408.85876800000005,335.139112825,73.71965517500007,1.2199673244153004
1978,387.145098,313.522285731,73.62281226900001,1.2348248095427037
8700,406.29155399999996,332.83266884750003,73.45888515249993,1.2207081539986984
1648,364.097528,290.9912099215,73.10631807850001,1.251232045280645
471,381.950639,309.88517506275,72.06546393725,1.232555373744813
2485,443.06551,372.1332883935,70.93222160650004,1.1906097160028464
2656,425.65315499999997,358.24440936574996,67.40874563425001,1.188164121152453
8702,405.087474,338.33225834325,66.75521565675001,1.19730667949409
8197,416.387332,349.867801105,66.519530895,1.1901276124718576
7214,349.416883,283.02119157,66.39569143,1.2345961792722582
7719,339.47922800000003,273.14869273825,66.33053526175001,1.2428367251329875
6874,336.477832,270.59676684475,65.88106515524998,1.2434658206747247
159,365.270158,299.7613159745,65.50884202549997,1.2185366733996323
2366,582.663865,517.3199332185,65.34393178150003,1.1263124160877604
7862,387.38599999999997,322.16221773300003,65.22378226699993,1.202456332475956
971,394.706509,330.83936941625,63.867139583749974,1.193045762671458
3325,546.566257,483.160889192,63.40536780799994,1.131230337751062
133,425.010296,362.1516577495,62.85863825050001,1.173569927768795
6855,400.387877,337.68984660825,62.698030391750024,1.1856674988478932
1307,386.824662,324.7230834095,62.10157859049997,1.1912447268829993
8387,343.822458,281.77786062375003,62.04459737624995,1.2201897481183115
7691,389.62030300000004,328.018764477,61.601538523000045,1.187798821306519
8391,332.440997,272.217246826,60.223750173999974,1.221234141682656
2557,635.800475,576.02793019225,59.77254480775002,1.1037667456229667
806,391.04129,332.76061023274997,58.280679767250035,1.1751429610353898
132,421.82580599999994,366.73265021725,55.09315578274993,1.150227023963877
7359,370.533349,316.7123291195,53.82101988049999,1.1699366073313047
1810,368.69913699999995,315.17150882325,53.52762817674994,1.1698365033272473
